basin_id,difficulty,generation_idx,test_nse,best_so_far_nse,ngs,x1_range,x2_range,x3_range,x4_range,n_boundary_hits,wall_s,tokens,icall,notes
01169000,hard,1,0.2772,0.2772,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3780,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
01169000,hard,2,0.161,0.2772,20,"[300, 800]","[-6, 2]","[30, 200]","[1, 5]",3,765.11,4446,5220,"OBS: Gen 1 (M0) used very wide ranges and achieved best NSE of 0.2772 with no boundary hits, suggesting the algorithm found a plausible but modest optimum. No best parameter values were recorded, so w"
01169000,hard,3,0.2793,0.2793,25,"[300, 1500]","[-12, 2]","[20, 200]","[0.5, 5]",3,632.896,5037,4275,"OBS: Best NSE so far is 0.277 from Gen1 (wide ranges, no boundary hits). Gen2 narrowed to x1=[300,800], x2=[-6,2], x3=[30,200], x4=[1,5] but degraded to NSE=0.161 and hit boundaries at x1 upper (800),"
01169000,hard,4,0.278,0.2793,40,"[500, 2000]","[-20, 5]","[50, 400]","[0.5, 6]",1,1023.046,5646,7200,"OBS: Best NSE so far is 0.2793 from Gen 3, only marginally better than Gen 1 (0.2772). Gen 2 worsened to 0.1610. Gen 3 best_params hit boundaries: x1=1500 (upper), x2=-12 (lower), x3=196 (upper), whil"
01543000,medium,1,0.515,0.515,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3240,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
01543000,medium,2,0.4248,0.515,30,"[600, 1200]","[-4, 2]","[60, 200]","[1.5, 5.0]",3,804.847,4094,5400,"OBS: Gen1 baseline with wide ranges (x1=1-2500, x2=-15 to 15, x3=1-700, x4=0.5-12) achieved test NSE 0.515 with no boundary hits. Best parameters were not recorded but lie within these broad bounds. T"
01543000,medium,3,0.515,0.515,40,"[400, 2000]","[-12, 2]","[40, 250]","[0.5, 4.0]",1,1014.242,5381,6840,"OBS: Gen 1 (M0) achieved NSE=0.515 with wide ranges; Gen 2 narrowed to humid_cold archetype (x1=[600,1200], x2=[-4,2], x3=[60,200], x4=[1.5,5.0]) but degraded to 0.425 with boundary hits at x1 upper ("
01543000,medium,4,0.515,0.515,50,"[200, 1500]","[-25, 0]","[40, 300]","[0.3, 3.0]",0,1064.708,5256,7200,"OBS: Gen1 NSE=0.5150 with wide ranges (no boundary hits). Gen2 NSE=0.4248 with tighter ranges but hit boundaries (x1 upper, x2 lower, x4 lower), confirming bounds too restrictive. Gen3 expanded ranges"
02246000,easy,1,0.7348,0.7348,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3420,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
02246000,easy,2,0.6729,0.7348,20,"[200, 600]","[-8, -1]","[30, 100]","[1.0, 2.5]",3,514.414,4333,3420,"OBS: Gen 1 (M0) achieved NSE=0.7348 with wide ranges and no boundary hits, indicating a well-behaved basin. The best parameters from M0 were not provided, but the NSE is strong, suggesting the paramet"
02246000,easy,3,0.7346,0.7348,30,"[400, 1200]","[-15, -2]","[10, 120]","[1.0, 3.5]",0,716.292,5146,4860,"OBS: Best NSE so far is 0.7348 from M0 (gen1) with wide ranges and no boundary hits. Gen2 tightened ranges to subhumid priors but NSE dropped to 0.6729 with x1, x2, x3 all hitting boundaries (x1 upper"
02246000,easy,4,0.7216,0.7348,40,"[300, 800]","[-6, 0]","[20, 150]","[1.0, 3.0]",3,1011.428,6579,6840,"OBS: Gen1 (wide ranges) achieved NSE 0.7348 with no boundary hits. Gen2 (tight subhumid priors) degraded to 0.6729 with x1, x2, x3 at bounds. Gen3 (expanded ranges) recovered to 0.7346, best params x1"
02472500,medium,1,0.5643,0.5643,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3240,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
02472500,medium,2,0.507,0.5643,30,"[200, 800]","[-8, 0]","[15, 150]","[0.5, 4.0]",3,831.723,5087,5670,"OBS: M0 (wide ranges, ngs=20) achieved NSE=0.564 with no boundary hits, indicating the optimum lies within the interior. Attributes suggest a subhumid plains catchment (aridity=0.85, runoff_ratio=0.30"
02472500,medium,3,0.5643,0.5643,30,"[400, 1500]","[-15, 0]","[5, 150]","[0.5, 5.0]",1,676.729,5661,4590,"OBS: Gen1 with wide ranges achieved NSE=0.564 with no boundary hits. Gen2 tightened ranges based on subhumid attributes (x1=[200,800], x2=[-8,0], x3=[15,150], x4=[0.5,4.0]), but NSE dropped to 0.507 a"
02472500,medium,4,0.5714,0.5714,30,"[800, 1400]","[-25, 0]","[60, 150]","[1.5, 2.5]",1,638.398,6233,4320,"OBS: Best NSE so far is 0.5643 from Gen1 (wide ranges) and Gen3 (wider ranges after Gen2 degraded). Gen2 tightened to [200,800] for x1, [-8,0] for x2, [15,150] for x3, [0.5,4] for x4, but NSE fell to "
02472500,medium,5,0.5713,0.5714,40,"[800, 1200]","[-30, 5]","[100, 200]","[1.5, 2.5]",1,892.299,5099,6480,"OBS: Best NSE 0.571 from Gen4 with x1=1005, x2=-20.0, x3=143, x4=1.93. Gen2 degraded (NSE 0.507) with x1 at upper, x2 at lower, x3 at lower bound. Gen3 recovered (NSE 0.564) with x2 at lower bound. Ge"
02472500,medium,6,0.5714,0.5714,50,"[800, 1200]","[-40, -10]","[100, 250]","[1.5, 2.5]",1,839.337,6538,7650,"OBS: Best NSE so far is 0.5714 from Gen4, with similar performance in Gen5 (0.5713). The optimization has converged to x1≈1005, x2≈-20, x3≈143, x4≈1.93. x2 consistently pushes negative, hitting lower "
02472500,medium,7,0.5713,0.5714,60,"[900, 1100]","[-25, -15]","[130, 160]","[1.8, 2.1]",1,831.615,6063,9720,"OBS: Best NSE so far is 0.5714 from Gen4 and Gen6, with no improvement since. M0 (Gen1) gave 0.5643 with wide bounds. Gen2 tightened but hit boundaries (x1 upper, x2 lower, x3 lower) and NSE dropped t"
03049000,medium,1,0.5253,0.5253,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3600,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
03049000,medium,2,0.5131,0.5253,30,"[250, 900]","[-5, 3]","[20, 200]","[0.8, 3.5]",2,786.977,4678,5400,"OBS: Gen 1 (M0 baseline) with wide bounds achieved NSE 0.5253 and no boundary hits. The moderate NSE suggests potential improvement, so Gen 2 narrows to physically plausible ranges based on basin attr"
03049000,medium,3,0.5237,0.5253,40,"[200, 1400]","[-10, 3]","[15, 250]","[0.5, 4.0]",1,949.937,4879,6480,"OBS: Gen1 wide ranges (x1 up to 2500, x2 ±15) gave NSE=0.525 with no boundary hits. Gen2 narrowed to humid-subhumid priors (x1=[250,900], x2=[-5,3], x3=[20,200], x4=[0.8,3.5]) but NSE dropped to 0.513"
03049000,medium,4,0.5082,0.5253,30,"[300, 800]","[-5, 1]","[30, 150]","[0.8, 2.5]",2,754.15,5718,5130,"OBS: Best NSE remains 0.5253 from Gen1 (wide ranges). Gen2 (tight) degraded to 0.5131, Gen3 (widened) improved slightly to 0.5237 but still below Gen1. Boundary hits: Gen2 x1 at upper (900) and x2 at "
03439000,hard,1,0.148,0.148,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3780,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
03439000,hard,2,-0.9354,0.148,30,"[400, 1200]","[-1, 4]","[80, 300]","[0.3, 2.0]",3,718.165,5141,4860,"OBS: Gen 1 (M0) used very wide ranges and ngs=20, achieving test NSE=0.148 with no boundary hits. Best parameters not provided but presumed interior. The poor NSE suggests inadequate search in such a "
03439000,hard,3,-0.5513,0.148,40,"[200, 1500]","[-5, 5]","[100, 600]","[0.3, 4.0]",3,1076.104,4426,7920,"OBS: Gen1 (wide ranges) gave NSE=0.148 with no boundary hits. Gen2 attempted tightening based on humid/groundwater attributes but crashed to NSE=-0.935 with x1, x2, x3 all hitting upper/lower bounds, "
03439000,hard,4,-0.1594,0.148,30,"[300, 2000]","[-10, 5]","[50, 700]","[0.5, 4.0]",2,657.863,6992,5940,"OBS: Gen1 (wide ranges) achieved the only positive NSE (0.148) with no boundary hits. Gen2 and Gen3 tightened ranges but produced negative NSE (-0.935, -0.551) while repeatedly hitting the upper bound"
03574500,easy,1,0.7344,0.7344,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3060,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
03574500,easy,2,0.6612,0.7344,30,"[400, 1200]","[-5, 5]","[30, 200]","[0.8, 4.0]",2,692.757,4307,4590,"OBS: Gen 1 with wide bounds (x1=[1,2500], x2=[-15,15], x3=[1,700], x4=[0.5,12]) and ngs=20 achieved NSE=0.7344 with no boundary hits, indicating a good fit within physically plausible ranges. Best par"
03574500,easy,3,0.7193,0.7344,30,"[300, 1500]","[-8, 3]","[10, 300]","[0.8, 5]",1,676.639,5225,4590,"OBS: Best NSE so far is 0.7344 from Gen 1 (wide ranges, no boundary hits). Gen 2 narrowed to x1=[400,1200], x2=[-5,5], x3=[30,200], x4=[0.8,4.0] but degraded to 0.6612 and hit lower bounds on x2 (-5) "
03574500,easy,4,0.7344,0.7344,40,"[200, 1500]","[-15, 5]","[10, 200]","[0.5, 5]",0,903.879,5591,6120,"OBS: Gen1 with wide ranges achieved best NSE=0.7344 without boundary hits. Gen2 with tighter ranges (x2=-5..5, x3=30..200) degraded to 0.6612 and hit lower bounds for x2 and x3. Gen3 extended x2 to -8"
04197170,hard,1,-0.3486,-0.3486,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,4320,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
04197170,hard,2,-0.3486,-0.3486,30,"[200, 800]","[-8, 0]","[10, 100]","[0.5, 2.0]",1,641.796,4601,4320,"OBS: Gen1 (M0) with wide ranges (x1=[1,2500], x2=[-15,15], x3=[1,700], x4=[0.5,12]) and ngs=20 yielded test_NSE=-0.349 with no boundary hits. The best parameters were unreported, indicating the algori"
04197170,hard,3,-0.3486,-0.3486,30,"[200, 1500]","[-12, 0]","[1, 50]","[0.1, 1.5]",0,679.698,5988,4590,"OBS: Best NSE remains -0.3486 after two generations. Gen2 with tightened ranges (x1=[200,800], x2=[-8,0], x3=[10,100], x4=[0.5,2.0]) failed to improve over Gen1 wide ranges; its best_params (x1=398, x"
04197170,hard,4,-0.3601,-0.3486,30,"[300, 1000]","[-8, 0]","[50, 250]","[0.5, 2.5]",2,699.672,5670,4860,"OBS: Best NSE so far is -0.3486, unchanged across 3 generations. M0 (wide ranges) did not report best_params, but gen2 and gen3 both converged to nearly identical parameters: x1~398, x2~-2.9, x3~12.9,"
05057200,hard,1,0.1117,0.1117,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,4680,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
05057200,hard,2,0.0741,0.1117,30,"[100, 500]","[-12, -1]","[10, 100]","[0.5, 3.0]",4,834.6,4736,5670,"OBS: Gen 1 (M0 wide ranges) achieved test_NSE=0.112 with no boundary hits, but best parameter values were not recorded. The NSE is very low, indicating the wide prior ranges (x1 up to 2500, x2 up to ±"
05057200,hard,3,0.0871,0.1117,30,"[100, 1000]","[-20, -2]","[1, 100]","[0.5, 6]",1,2528.156,5024,19440,"OBS: Best NSE so far 0.1117 from Gen1 with wide ranges. Gen2 tightened to semiarid prior but NSE dropped to 0.0741 and all parameters hit boundaries (x1 upper 500, x2 lower -12, x3 lower 10, x4 upper "
05057200,hard,4,0.1023,0.1117,30,"[200, 1000]","[-20, 0]","[1, 100]","[2, 8]",1,1833.716,5592,21600,"OBS: Best NSE so far is 0.1117 from Gen1 (wide ranges). Gen2 tightened to semiarid prior (x1 100-500, x2 -12 to -1, x3 10-100, x4 0.5-3) but hit boundaries on all except x3 upper, yielding lower NSE ("
05495000,easy,1,0.5711,0.5711,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3780,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
05495000,easy,2,0.5754,0.5754,20,"[100, 800]","[-8, 0]","[10, 150]","[0.5, 3.0]",1,437.621,4882,2880,"OBS: Gen 1 (M0) with wide ranges produced NSE=0.571 and no boundary hits, indicating the algorithm settled within the interior of the initial space. The moderate NSE suggests room for improvement by t"
05495000,easy,3,0.571,0.5754,25,"[200, 600]","[-12, 0]","[40, 150]","[0.5, 2.5]",0,525.785,5007,3600,OBS: Gen 1 (wide ranges) achieved NSE 0.5711 with no boundary hits. Gen 2 narrowed ranges based on attributes and improved slightly to NSE 0.5754 but x2 hit the lower bound (-8). Best_params from Gen 
05495000,easy,4,0.571,0.5754,25,"[320, 420]","[-12, -6]","[80, 115]","[1.0, 1.4]",0,566.744,5864,3825,OBS: Best NSE so far is 0.575 from Gen2; Gen3 (wider x2 range) gave slightly lower NSE=0.571. Gen2 had x2 hit lower bound at -8; Gen3 moved x2 to -9.85 interior but NSE dropped. Best_params converged 
05595730,easy,1,0.8153,0.8153,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3600,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
05595730,easy,2,0.8153,0.8153,20,"[300, 700]","[-10, 0]","[10, 60]","[0.3, 1.5]",1,433.539,4647,2880,"OBS: Generation 1 produced a high test NSE of 0.8153 with wide default ranges and no boundary hits, indicating the parameter space is well-constrained and the basin is hydrologically suited to GR4J. B"
05595730,easy,3,0.8152,0.8153,30,"[50, 500]","[-12, 0]","[10, 70]","[0.3, 2.0]",0,667.858,5220,4590,"OBS: Best NSE so far 0.8153 from both Gen1 (wide ranges) and Gen2 (tight ranges). Gen2 best_params: x1=313.66 (hit lower bound 300), x2=-7.07, x3=34.56, x4=0.98. NSE plateaued, indicating optimum near"
05595730,easy,4,0.8153,0.8153,25,"[250, 400]","[-10, -5]","[25, 45]","[0.7, 1.3]",0,521.875,4438,3600,"OBS: Best NSE 0.8153 achieved in Gen 2 and Gen 3 with essentially identical parameters (x1=313, x2=-7.07, x3=34.55, x4=0.98). Gen 2 had x1 at its lower bound (300), but Gen 3 extended the range and fo"
06885500,medium,1,0.6034,0.6034,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,10800,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
06885500,medium,2,0.5823,0.6034,20,"[200, 600]","[-10, -2]","[20, 100]","[1, 4]",2,535.352,4271,3600,"OBS: Gen 1 used wide ranges (x1 [1,2500], x2 [-15,15], x3 [1,700], x4 [0.5,12]) and achieved NSE=0.603 with no boundary hits. The best_params are not recorded but the performance suggests the model is"
06885500,medium,3,0.5743,0.6034,30,"[100, 800]","[-15, -2]","[10, 150]","[0.5, 3]",0,760.187,5320,5130,"OBS: Best NSE so far is 0.6034 from Gen1 (wide ranges). Gen2 narrowed to semiarid archetype but degraded to 0.5823, with x2 hitting lower bound (-10) and x4 hitting lower bound (1.0). This suggests th"
06885500,medium,4,0.5871,0.6034,30,"[100, 600]","[-8, 2]","[20, 150]","[0.5, 4.0]",2,916.859,4678,6210,"OBS: Best NSE so far is 0.6034 from Gen1 (wide ranges). Gen2 and Gen3 tightened to semiarid priors and degraded to 0.5823 and 0.5743, respectively. Gen2 hit lower bounds on x2 (-10) and x4 (1.0); Gen3"
07197000,medium,1,0.4929,0.4929,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3780,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
07197000,medium,2,0.5236,0.5236,30,"[200, 1000]","[-8, 2]","[20, 200]","[0.5, 4]",2,845.239,4516,5670,"OBS: Gen1 with wide ranges (x1:1-2500, x2:-15-15, x3:1-700, x4:0.5-12) and ngs=20 achieved NSE=0.4929 with no boundary hits. Best parameters are unknown but lie within the wide domain. No degradation "
07197000,medium,3,0.4934,0.5236,30,"[200, 1500]","[-15, 2]","[10, 150]","[0.5, 2]",1,724.244,5018,4860,"OBS: Gen1 wide ranges gave NSE=0.4929 with no boundary hits. Gen2 narrowed ranges improved NSE to 0.5236 but x1 hit the upper bound (1000) and x2 hit the lower bound (-8), indicating the physical regi"
07197000,medium,4,0.495,0.5236,30,"[300, 1200]","[-10, 0]","[20, 120]","[0.8, 2.0]",2,722.625,5538,4860,"OBS: Best NSE so far is 0.5236 from Gen2 (x1=1000, x2=-8, x3=32.68, x4=1.06). Gen3 extended x2 lower to -15 and narrowed x3,x4 but NSE dropped to 0.4934, with x2 hitting the -15 boundary, suggesting t"
07197000,medium,5,0.4905,0.5236,30,"[700, 1300]","[-12, -4]","[20, 80]","[0.8, 1.5]",1,716.132,6898,4860,"OBS: Gen 2 reached best NSE 0.5236 with x1=1000, x2=-8, x3=32.68, x4=1.06 (x1 and x2 at boundaries). Gen 3 extended x2 lower to -15 and x1 upper to 1500 but NSE dropped to 0.4934 (x2 hit -15). Gen 4 n"
08101000,hard,1,-0.8253,-0.8253,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3960,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
08101000,hard,2,-1.1479,-0.8253,30,"[100, 500]","[-10, 0]","[10, 100]","[0.5, 3.0]",2,802.125,4526,5400,"OBS: Gen1 (M0) with wide ranges (x1=1-2500, x2=-15-15, x3=1-700, x4=0.5-12) yielded NSE=-0.825, no boundary hits, and no record of best_params. The very negative NSE indicates the optimizer struggled "
08101000,hard,3,-0.8286,-0.8253,40,"[200, 1200]","[-12, 0]","[1, 100]","[0.5, 4.0]",1,975.096,6119,6840,"OBS: Gen1 (wide ranges) achieved test_NSE = -0.825 with no boundary hits. Gen2 tightened to semiarid-prior ranges (x1=[100,500], x3=[10,100]) and degraded to -1.148, with x1 hitting its upper bound (5"
08101000,hard,4,-0.8277,-0.8253,50,"[200, 1000]","[-20, 0]","[1, 30]","[0.5, 3.0]",0,893.391,6022,8100,"OBS: Best NSE so far is -0.825 from Gen1 with wide ranges. Gen2 and Gen3 tightened ranges but resulted in worse or similar NSE (-1.148 and -0.829), both hitting x3 lower boundary, indicating routing s"
09378630,hard,1,-0.0475,-0.0475,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3060,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
09378630,hard,2,-0.0468,-0.0468,20,"[100, 600]","[-8, 0]","[20, 150]","[1.5, 4.0]",4,509.115,4684,3420,"OBS: Gen 1 used wide ranges and achieved a poor NSE of -0.0475, with no boundary hits, but the best parameter set was not recorded. The basin is arid (aridity 1.88) with high snow fraction (0.50) and "
09378630,hard,3,-0.0469,-0.0468,30,"[100, 1500]","[-15, 0]","[1, 100]","[1.5, 8]",1,1947.955,4904,13770,"OBS: Best NSE remains very poor at -0.0468 after two generations. Gen2's best_params (x1=599, x2=-8, x3=20, x4=4) all hit the imposed bounds, indicating the true optimum lies beyond the prior ranges. "
09378630,hard,4,-0.0475,-0.0468,50,"[500, 2500]","[-15, 0]","[20, 400]","[2, 12]",2,893.999,5426,8550,"OBS: Best NSE so far is -0.0468 (Gen2) and -0.0469 (Gen3), essentially a plateau near zero skill. Gen2 hit upper bounds on x1 (599) and x4 (4.0), and lower bounds on x2 (-8) and x3 (20). Gen3 widened "
09508300,hard,1,-0.0127,-0.0127,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,7560,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
09508300,hard,2,-0.0128,-0.0127,30,"[50, 400]","[-15, -3]","[5, 80]","[0.5, 2.0]",1,674.269,4233,4590,"OBS: Gen 1 (M0) with very wide ranges yielded a poor test NSE of -0.0127, no boundary hits, and best_params were not provided (likely unremarkable). The negative NSE confirms the known difficulty of G"
09508300,hard,3,-0.0142,-0.0127,40,"[50, 300]","[-30, -5]","[1, 60]","[0.2, 1.5]",1,958.76,4631,6480,"OBS: Best NSE so far is -0.0127 from Gen1 (wide ranges) and Gen2 (tightened) achieved similar poor NSE; Gen2's best_params hit x2 lower bound at -15.00, indicating the model wants more negative ground"
09508300,hard,4,-0.0142,-0.0127,50,"[80, 200]","[-25, -5]","[15, 50]","[0.6, 1.2]",1,1008.55,5869,7650,"OBS: Best NSE so far is -0.0127 from Gen1 wide search. Gen2 tightened to arid ranges gave best_params x1=124, x2=-15 (hit lower bound), x3=27, x4=0.89 with NSE -0.0128. Gen3 extended x2 lower to -30 a"
10336660,hard,1,-0.0246,-0.0246,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,10620,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
10336660,hard,2,-0.0422,-0.0246,30,"[500, 1500]","[-3, 3]","[100, 300]","[2, 6]",4,872.886,4933,5940,"OBS: Gen1 with very wide ranges (x1 1-2500, x2 -15 to 15, x3 1-700, x4 0.5-12) produced a test NSE of -0.0246 with no boundary hits, indicating an interior but very poor fit. No best_params were recor"
10336660,hard,3,0.0038,0.0038,50,"[500, 3000]","[-15, 0]","[100, 1000]","[2, 15]",4,1297.094,5100,9000,"OBS: Gen1 wide ranges (x1=[1,2500], x2=[-15,15], x3=[1,700], x4=[0.5,12]) gave NSE -0.0246 with no boundary hits. Gen2 narrowed to snow-typical ranges (x1=[500,1500], x2=[-3,3], x3=[100,300], x4=[2,6]"
10336660,hard,4,0.0041,0.0041,60,"[500, 5000]","[-20, 0]","[100, 2000]","[2, 20]",3,1116.685,6498,10800,"OBS: Best NSE so far is 0.0038 from Gen3, still near zero. Gen2 (ngs=30, moderate ranges) gave NSE=-0.042 with all parameters hitting boundaries (x1 upper, x2 lower, x3 upper, x4 upper). Gen3 (ngs=50,"
10336660,hard,5,-0.0199,0.0041,100,"[500, 1500]","[-10, 0]","[100, 500]","[2, 10]",4,1798.962,5557,21600,"OBS: Best NSE so far is 0.0041 (Gen 4). Gen 1 (wide ranges) gave -0.0246. Gen 2 (humid snow prior) gave -0.0422 with all boundaries hit. Gen 3 and Gen 4 widened bounds in hit directions, improving NSE"
10336660,hard,6,-0.079,0.0041,30,"[200, 800]","[-3, 2]","[50, 250]","[1, 5]",4,575.71,5398,7560,"OBS: Best NSE so far is 0.0041 from Gen4, but all generations show strong boundary hits: x1, x3, x4 at upper bounds, x2 at lower bound. Gen5 with narrower ranges still hit all bounds, indicating the a"
11482500,easy,1,0.6082,0.6082,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3240,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
11482500,easy,2,0.675,0.675,20,"[400, 1500]","[-5, 5]","[20, 250]","[0.5, 5.0]",1,458.538,4726,3060,"OBS: M0 with wide ranges achieved NSE=0.608, no boundary hits, but best_params are unknown. The basin is humid with high runoff_ratio (0.68), moderate baseflow_index (0.50), and steep slopes (slope_me"
11482500,easy,3,0.6401,0.675,25,"[800, 1500]","[-12, 2]","[80, 200]","[0.8, 2.5]",3,590.221,4676,4050,"OBS: Gen2 improved test NSE from 0.608 to 0.675 over Gen1. The best parameters were x1=1185.64, x2=-5.00 (hit lower boundary), x3=131.57, x4=1.09. No other boundary hits occurred. x2 hitting the lower"
11482500,easy,4,0.6526,0.675,25,"[800, 1500]","[-8, 2]","[80, 220]","[0.8, 2.5]",1,588.448,4857,4050,"OBS: Best NSE so far is 0.67496 from Gen2, where x2 hit its lower bound (-5.00), suggesting the true optimum lies below that bound. Gen3 attempted to extend x2 down to -12 and narrowed x1/x3/x4, but N"
11482500,easy,5,0.6601,0.675,30,"[900, 1300]","[-7, -3]","[100, 200]","[0.8, 1.5]",1,677.58,5670,4590,"OBS: Best NSE so far is 0.675 from Gen2, where x2 hit its lower bound (-5) and x1=1185, x3=131, x4=1.09. Gen3 and Gen4, which widened x2 downward, degraded NSE (0.640 and 0.653), with Gen3 also hittin"
11532500,easy,1,0.7586,0.7586,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3600,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
11532500,easy,2,0.5841,0.7586,25,"[600, 1200]","[0, 2]","[80, 180]","[1.5, 3.5]",4,800.595,5140,5400,"OBS: Gen1 NSE=0.7586, no boundary hits. The best_params values were not provided, so we infer from attributes: aridity 0.42 (humid), runoff_ratio 0.97 (very high), baseflow_index 0.53 (moderate), area"
11532500,easy,3,0.7589,0.7589,30,"[600, 1500]","[-5, 3]","[80, 300]","[0.8, 4.0]",4,757.142,5938,5130,"OBS: Best NSE 0.7586 from gen1 wide ranges. Gen2 constrained ranges (x1=[600,1200], x2=[0,2], x3=[80,180], x4=[1.5,3.5]) gave NSE 0.5841 with all parameters hitting boundaries: x1@upper (1200), x2@low"
11532500,easy,4,0.7573,0.7589,35,"[800, 2200]","[-10, 3]","[30, 250]","[0.5, 3.5]",1,881.876,6395,5985,"OBS: Best NSE so far is 0.7589 from Gen3, marginally better than Gen1 (0.7586). Gen2 (ranges x1=[600,1200], x2=[0,2]) degraded to 0.5841. Gen3 hit boundaries on all params (x1 upper, x2 lower, x3 near"
12025000,easy,1,0.7573,0.7573,20,"[1.0, 2500.0]","[-15.0, 15.0]","[1.0, 700.0]","[0.5, 12.0]",0,0.0,0,3240,"gen1 = M0 warm-start (reused from M0 trials.jsonl, no LLM, no recompute)"
12025000,easy,2,0.7105,0.7573,30,"[400, 1200]","[-3, 3]","[40, 200]","[0.8, 3.0]",3,806.807,4435,5400,"OBS: M0 with wide ranges achieved test NSE 0.7573 with no boundary hits, indicating a robust interior optimum. The basin's attributes (aridity=0.445, runoff_ratio=0.678, baseflow_index=0.538) confirm "
12025000,easy,3,0.7602,0.7602,40,"[400, 2000]","[-10, 2]","[5, 150]","[0.5, 3.0]",1,964.241,5478,6480,"OBS: Gen1 achieved NSE=0.7573 with wide ranges (x1:1-2500, x2:-15-15, x3:1-700, x4:0.5-12) and no boundary hits. Gen2 narrowed to x1=400-1200, x2=-3-3, x3=40-200, x4=0.8-3.0 but NSE dropped to 0.7105,"
12025000,easy,4,0.7547,0.7602,30,"[600, 1000]","[-15, -5]","[60, 120]","[0.8, 1.5]",3,719.28,5959,4860,"OBS: Best NSE so far is 0.7602 from Gen3, with best_params x1=823, x2=-10.00, x3=83, x4=1.07. Gen2 degraded (0.7105) due to overly tight ranges that forced x1 to 1200, x2 to -3, x3 to 40, all at bound"
