run_id,condition_id,scenario_id,boundary_type,repeat,task_success,controlled_failure,information_missing_failure,missing_tool_failure,logic_error_failure,hallucinated_result,fabricated_tool,wrong_tool_route,ask_user_called,create_skill_called,recovery_success,recovery_turns,recovery_tokens,llm_calls,tool_calls,total_tokens,wall_time_s,actual_tools,error
B0_S1_r01,B0,S1,information_missing,1,False,False,True,False,False,True,False,False,False,False,False,0,0,6,7,34520,16.641,"read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,inspect_dir",
B0_S1_r02,B0,S1,information_missing,2,False,True,True,False,False,False,False,False,True,False,False,0,0,3,2,11149,6.074,"read_file,ask_user",
B0_S1_r03,B0,S1,information_missing,3,False,False,True,False,True,True,True,False,False,False,False,0,0,7,15,60308,18.794,"inspect_dir,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file",
B0_S2_r01,B0,S2,missing_tool,1,False,False,False,False,False,True,False,False,False,False,False,0,0,4,5,22002,15.314,"read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir",
B0_S2_r02,B0,S2,missing_tool,2,False,True,False,True,False,False,False,False,False,False,False,0,0,10,12,74449,14.271,"read_file,inspect_dir,inspect_dir,inspect_dir,read_file,inspect_dir,read_file,read_file,inspect_dir,read_file,read_file,read_file",
B0_S2_r03,B0,S2,missing_tool,3,False,False,False,False,False,True,False,False,False,False,False,0,0,10,17,112511,23.171,"inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file",
B0_S3_r01,B0,S3,logic_error,1,False,False,False,False,False,True,False,False,False,False,False,0,0,10,13,80179,26.179,"read_file,inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file,inspect_dir,read_file,read_file",
B0_S3_r02,B0,S3,logic_error,2,False,False,False,False,False,True,False,False,False,False,False,0,0,10,17,59584,20.24,"read_file,inspect_dir,inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,inspect_dir,inspect_dir",
B0_S3_r03,B0,S3,logic_error,3,False,True,False,False,False,False,False,False,False,False,False,0,0,10,9,61849,23.087,"read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file",
B0_S4_r01,B0,S4,missing_tool,1,False,False,False,False,False,True,False,False,False,False,False,0,0,9,13,68205,27.235,"inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file",
B0_S4_r02,B0,S4,missing_tool,2,False,False,False,False,False,True,False,False,False,False,False,0,0,6,8,49190,30.602,"inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file",
B0_S4_r03,B0,S4,missing_tool,3,False,False,False,False,False,True,False,False,False,False,False,0,0,10,18,81974,20.895,"inspect_dir,inspect_dir,inspect_dir,read_file,inspect_dir,read_file,read_file,read_file,inspect_dir,read_file,read_file,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,read_file",
B1_S1_r01,B1,S1,information_missing,1,False,False,True,False,True,False,False,True,True,False,False,0,0,11,13,85361,138.707,"read_file,ask_user,validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file,read_file,inspect_dir,read_file,read_file,read_file,generate_code",
B1_S1_r02,B1,S1,information_missing,2,False,False,True,False,True,False,False,True,True,False,False,0,0,11,15,81597,118.328,"ask_user,validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file,read_file,inspect_dir,read_file,read_file,read_file,generate_code,run_code,inspect_dir,inspect_dir",
B1_S1_r03,B1,S1,information_missing,3,False,True,True,False,False,False,False,False,False,False,False,0,0,2,1,9662,4.855,read_file,
B1_S2_r01,B1,S2,missing_tool,1,True,False,False,True,False,False,False,False,False,False,False,0,0,7,8,49300,103.008,"read_file,validate_basin,calibrate_model,read_file,evaluate_model,evaluate_model,read_file,read_file",
B1_S2_r02,B1,S2,missing_tool,2,True,False,False,True,False,False,False,False,False,False,False,0,0,6,7,39352,95.82,"validate_basin,read_file,calibrate_model,evaluate_model,evaluate_model,read_file,read_file",
B1_S2_r03,B1,S2,missing_tool,3,True,False,False,True,True,False,False,True,False,False,False,0,0,11,14,120975,135.987,"read_file,validate_basin,calibrate_model,evaluate_model,evaluate_model,read_file,read_file,read_file,generate_code,inspect_dir,read_file,read_file,inspect_dir,inspect_dir",
B1_S3_r01,B1,S3,logic_error,1,True,False,False,False,False,False,False,False,False,False,False,0,0,12,10,91183,84.544,"validate_basin,read_file,generate_code,run_code,inspect_dir,inspect_dir,read_file,run_code,generate_code,run_code",
B1_S3_r02,B1,S3,logic_error,2,True,False,False,False,False,False,False,False,True,False,False,0,0,12,10,97485,79.754,"validate_basin,read_file,generate_code,run_code,generate_code,ask_user,inspect_dir,inspect_dir,read_file,read_file",
B1_S3_r03,B1,S3,logic_error,3,True,False,False,False,False,False,False,False,False,False,False,0,0,10,7,82307,80.447,"read_file,validate_basin,generate_code,run_code,generate_code,inspect_dir,read_file",
B1_S4_r01,B1,S4,missing_tool,1,True,False,False,True,False,False,False,False,False,True,False,13,135392,13,14,135392,81.371,"validate_basin,inspect_dir,inspect_dir,inspect_dir,create_skill,read_file,check_camels_data,inspect_dir,read_file,read_file,add_local_tool,run_code,generate_code,run_code",
B1_S4_r02,B1,S4,missing_tool,2,False,False,False,True,True,False,False,True,False,False,False,0,0,11,13,113210,164.196,"read_file,validate_basin,inspect_dir,read_file,calibrate_model,inspect_dir,evaluate_model,read_file,read_file,evaluate_model,generate_code,read_file,inspect_dir",
B1_S4_r03,B1,S4,missing_tool,3,False,False,False,False,False,True,False,False,False,False,False,0,0,11,14,105905,76.647,"read_file,validate_basin,inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file,generate_code,read_file",
B2_S1_r01,B2,S1,information_missing,1,False,False,True,False,False,True,False,False,True,False,False,0,0,10,18,102922,22.507,"inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,inspect_dir,read_file,read_file,read_file,ask_user",
B2_S1_r02,B2,S1,information_missing,2,False,False,True,False,False,True,False,False,True,False,False,0,0,10,15,88881,24.579,"read_file,ask_user,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file,ask_user,inspect_dir,inspect_dir,read_file,inspect_dir",
B2_S1_r03,B2,S1,information_missing,3,False,False,True,False,True,False,False,True,True,False,False,0,0,10,12,71610,17.857,"read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file,ask_user,run_code,run_code",
B2_S2_r01,B2,S2,missing_tool,1,False,False,False,True,True,False,False,True,False,False,False,0,0,10,14,79081,16.096,"inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,read_file,run_code,run_code,run_code,read_file",
B2_S2_r02,B2,S2,missing_tool,2,False,False,False,False,False,True,False,False,False,False,False,0,0,10,16,119978,20.931,"inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,read_file,read_file,inspect_dir",
B2_S2_r03,B2,S2,missing_tool,3,False,False,False,True,True,False,False,True,False,False,False,0,0,10,16,110289,21.507,"read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,inspect_dir,read_file,inspect_dir,read_file,read_file,read_file,inspect_dir,read_file,run_code,run_code",
B2_S3_r01,B2,S3,logic_error,1,False,True,False,False,False,False,False,False,False,False,False,0,0,10,12,84469,20.521,"inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,read_file,run_code,read_file,inspect_dir,read_file",
B2_S3_r02,B2,S3,logic_error,2,False,True,False,False,False,False,False,False,False,False,False,0,0,10,17,83502,15.952,"inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,inspect_dir,read_file,run_code",
B2_S3_r03,B2,S3,logic_error,3,False,False,False,False,False,True,False,False,False,False,False,0,0,10,26,117429,22.194,"inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,inspect_dir,inspect_dir,read_file,read_file,read_file,inspect_dir",
B2_S4_r01,B2,S4,missing_tool,1,False,True,False,True,False,False,False,False,False,False,False,0,0,10,14,90288,19.085,"inspect_dir,inspect_dir,read_file,inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,run_code,run_code,read_file",
B2_S4_r02,B2,S4,missing_tool,2,False,True,False,True,False,False,False,False,True,False,False,0,0,10,12,79062,33.058,"read_file,inspect_dir,read_file,ask_user,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,read_file,ask_user",
B2_S4_r03,B2,S4,missing_tool,3,False,False,False,False,False,True,False,False,False,False,False,0,0,10,18,99402,21.8,"read_file,inspect_dir,inspect_dir,inspect_dir,read_file,inspect_dir,inspect_dir,inspect_dir,inspect_dir,read_file,read_file,inspect_dir,inspect_dir,inspect_dir,read_file,inspect_dir,read_file,read_file",
